Bandwidth      Lost      Total Datagrams       avglatntence       maxlatntence
8.98           71             3888                9.367    
9.01           0              3829                1.317    
9.00           0              3827                0.843    
9.00           1              3826                1.175    
9.00           0              3827                0.833    
9.00           0              3825                1.056    
9.00           1              3828                0.903    
9.00           0              3827                1.122    
9.00           0              3825                0.881    
9.00           25             3828                2.033    
9.00           0              3826                1.039    
9.00           0              3827                0.962    
9.00           6              3826                1.282    
9.00           0              3827                0.901    
9.00           0              3826                0.813    
6.23           1161           3809                26.254   
6.24           1177           3829                23.922              43.676   
6.24           1174           3825                23.621              35.486   
6.25           1166           3825                24.508              106.458  
6.24           1172           3825                23.824              37.346   
6.24           1175           3829                23.671              35.880   
6.26           1165           3827                25.112              120.265  
6.29           1152           3828                28.929              111.354  
6.28           1154           3825                23.802              36.479   
6.30           1151           3828                23.811              38.665   
6.37           1116           3825                23.880              43.956   
6.22           1183           3826                23.801              43.270   
6.35           1129           3828                25.507              133.381  
6.46           1080           3826                23.764              40.535   
6.45           1084           3826                24.425              48.126   
6.42           1099           3828                24.588              61.648   
6.40           1103           3826                23.991              43.063   
6.37           1117           3826                23.839              36.712   
6.45           1084           3825                24.975              97.204   
6.32           1139           3828                24.100              43.445   
6.45           1082           3826                23.919              49.240   
6.28           1160           3828                23.793              38.434   
6.42           1095           3825                23.645              35.207   
6.36           1121           3827                23.726              41.480   
6.22           1180           3825                23.891              40.242   
6.45           1085           3829                23.801              35.230   
6.26           1165           3825                23.882              48.094   
6.32           1139           3828                24.058              101.679  
6.37           1116           3826                23.951              36.998   
6.31           1145           3826                23.910              37.503   
6.41           1103           3827                24.313              55.390   
6.34           1130           3825                23.934              39.509   
6.16           1210           3828                24.065              43.115   
6.40           1103           3826                23.987              61.779   
6.37           1121           3828                24.084              48.913   
6.35           1124           3825                23.657              36.512   
6.33           1135           3827                24.228              47.372   
6.28           1159           3827                25.507              69.378   
6.26           1164           3827                23.806              40.037   
6.47           1075           3825                24.357              48.384   
6.36           1124           3827                27.235              80.464   
6.20           1190           3826                25.520              43.574   
6.18           1199           3827                25.009              40.024   
6.27           1164           3829                27.315              70.025   
6.99           51261/22959      (22%)               0.161               12.247   
8.996667  	9.000000  	9.000000  	9.000000  	9.000000  	6.236667  	6.243333  	6.276667  	6.296667  	6.420000  	6.396667  	6.406667  	6.353333  	6.310000  	6.333333  	6.303333  	6.373333  	6.290000  	6.343333  	6.480000  	
 sum=1100.605000 count=60.000000  18.343417
