Bandwidth      Lost      Total Datagrams       avglatntence       maxlatntence
6.82           958            3859                44.086              499.500  
7.21           757            3824                24.448              47.736   
7.07           824            3829                24.672              68.114   
7.02           841            3825                29.859              325.687  
6.99           815            3788                30.481              153.089  
6.89           939            3868                49.430              244.187  
6.96           862            3823                28.949              846.222  
7.08           815            3826                26.375              103.561  
6.72           971            3827                55.000              404.034  
6.87           908            3828                36.207              140.724  
7.08           816            3826                25.254              80.590   
7.00           849            3827                24.507              48.338   
7.11           802            3826                29.139              120.832  
7.10           810            3827                28.195              115.094  
7.04           834            3826                24.500              52.173   
6.36           1123           3828                73.590              1058.248 
7.15           789            3827                25.709              84.933   
7.05           827            3824                25.517              68.792   
7.02           840            3825                25.344              82.325   
7.09           817            3830                25.702              73.909   
7.03           838            3826                28.233              116.526  
7.07           820            3828                27.055              161.177  
7.11           802            3825                25.247              71.611   
7.15           786            3828                25.529              70.234   
7.08           814            3825                25.832              107.956  
7.10           811            3828                26.799              89.073   
7.03           836            3823                29.736              126.025  
6.91           889            3826                28.572              221.550  
7.03           840            3827                48.872              258.178  
7.04           835            3830                29.268              116.658  
7.13           795            3828                26.739              105.135  
7.09           811            3824                24.769              57.459   
7.05           830            3828                24.845              56.013   
6.72           968            3824                64.400              328.229  
6.92           884            3826                28.321              109.954  
7.03           841            3828                27.057              121.097  
6.57           1035           3828                50.896              321.421  
6.94           873            3823                29.856              139.744  
6.78           917            3799                27.319              258.708  
6.98           33422/14923      (22%)               m        
7.033333  	6.966667  	6.920000  	6.983333  	7.083333  	6.853333  	7.046667  	7.110000  	7.070000  	6.993333  	7.090000  	6.890000  	6.763333  	
 sum=1256.309000 count=39.000000  32.213051
