Time,Transfer(MBytes),Bandwidth(Mbits/sec),Packet_Lost,Total_Packets,Min_Latency(ms),Max_Latency(ms),Avg_Latency(ms)
0.0000,23.3900,39.2700,6695,23386,23.3800,259.5030,176.3820
5.0000,23.6400,39.6800,7201,24068,153.4640,291.7400,188.6650
10.0000,24.0800,40.3800,6736,23911,0.0260,374.9870,182.2410
15.0000,24.3500,40.8700,6927,24304,0.0230,474.6590,190.6920
20.0000,25.1300,42.1700,6022,23953,0.0230,402.6110,184.9810
25.0000,24.6100,41.2900,6490,24050,0.0200,466.3950,205.9580
30.0000,23.9900,40.2500,6808,23922,0.0220,556.5390,213.6810
35.0000,22.5800,37.8800,7897,24003,158.0760,549.2180,248.1780
40.0000,19.9200,33.4200,5881,20091,192.0890,395.6290,249.8040
45.0000,20.0600,33.6500,5740,20047,218.8680,391.8580,254.0780
50.0000,20.7100,34.7600,5277,20053,175.9240,329.1050,253.4280
55.0000,20.6400,34.6100,5333,20049,217.8100,428.3980,263.0810
60.0000,20.3600,34.1500,5507,20028,238.4410,440.1400,274.3890
65.0000,20.7100,34.7500,5273,20050,201.1120,335.7130,278.0780
70.0000,20.5300,34.4500,5334,19979,214.3000,363.3490,288.5310
75.0000,18.8200,31.5600,6451,19874,273.2220,461.5720,322.9960
80.0000,19.2200,32.2500,6404,20118,195.4180,450.1780,325.2800
85.0000,19.0900,32.0400,6408,20029,296.4540,429.0700,334.9230
90.0000,18.6600,31.3300,6784,20097,294.6400,493.1000,347.7040
95.0000,18.9500,31.7800,6489,20003,301.6610,522.5640,343.2840
100.0000,20.3300,34.1300,5710,20218,0.3500,539.0060,287.8500
105.0000,18.3100,30.7200,6851,19909,0.3250,700.9730,329.6100
110.0000,16.5300,27.7300,8084,19874,177.4570,619.3280,361.3410
115.0000,15.2300,25.5500,9196,20057,53.2900,648.6580,394.2240
120.0000,14.9600,25.0900,10026,20697,116.2240,835.0390,413.9680
125.0000,15.0800,25.3100,8786,19544,57.3140,680.9490,368.4690
130.0000,15.9300,26.7400,8943,20315,57.5570,633.4900,312.0420
135.0000,14.7800,24.8100,9181,19731,191.8860,1766.6570,347.5980
140.0000,14.7900,24.8200,9522,20077,223.1450,622.8160,375.1530
145.0000,15.3900,25.8300,9110,20090,231.3350,553.7860,364.9750
150.0000,15.0200,25.1900,9384,20093,242.7520,768.3480,378.2220
155.0000,15.0300,25.2200,9331,20049,252.5150,645.7710,376.8010
160.0000,15.4500,25.9000,9021,20037,269.1440,469.5270,368.2660
165.0000,15.2500,25.6000,9437,20319,34.6630,624.8110,375.6590
170.0000,17.2500,28.9300,7861,20159,0.2910,499.8420,303.4980
175.0000,18.0200,30.2300,7170,20023,0.2850,482.2140,295.0420
180.0000,17.1200,28.7100,7538,19745,0.2890,845.4540,306.7420
185.0000,17.3600,29.1500,7961,20354,0.3000,896.2060,311.6390
190.0000,17.3600,29.1500,7644,20038,0.2910,485.2820,307.9440
195.0000,16.9000,28.3700,8049,20106,0.2880,706.5190,277.5890
200.0000,17.4600,29.3200,7656,20121,0.2910,471.8800,278.5530
205.0000,17.1600,28.7800,7885,20119,0.3000,469.8880,283.6410
210.0000,16.3300,27.3900,8078,19728,0.2890,649.3250,294.4670
215.0000,16.7600,28.1300,8264,20224,0.2800,503.5980,306.5890
220.0000,16.9900,28.5000,8077,20196,0.2910,472.9070,302.9730
225.0000,16.0200,26.8700,8308,19734,0.2880,771.7510,311.6390
230.0000,15.1700,25.4200,9308,20120,221.5600,557.6200,351.2990
235.0000,14.9300,25.0600,9563,20215,57.0910,421.7920,319.1170
240.0000,15.3200,25.7100,9194,20124,185.2080,560.4350,318.6410
245.0000,16.6200,27.8700,8211,20059,0.3000,558.3540,289.5710
250.0000,17.1300,28.7500,7669,19889,0.2900,440.3560,283.0500
255.0000,15.7000,26.3200,8862,20055,166.1890,434.4260,317.5260
260.0000,14.9400,25.0700,9389,20051,116.2460,695.1120,341.3740
265.0000,15.6700,26.3000,8903,20085,223.7250,613.3470,336.1830
270.0000,15.9600,26.7800,8597,19978,234.1710,467.0850,335.4170
275.0000,14.7000,24.6600,9520,20005,239.4080,635.8680,363.2660
280.0000,15.7900,26.4800,8892,20151,249.7590,552.7380,347.5850
285.0000,15.7000,26.3200,8711,19907,255.8520,573.7660,351.4180
290.0000,14.9500,25.0800,9429,20088,271.5250,624.5210,374.9660
295.0000,15.2400,25.5600,9157,20028,286.3590,650.2850,370.6670
