Time,Total Bandwidth
0.0,39.2
5.0,39.64
10.0,40.41
15.0,40.83
20.0,42.19
25.0,54.629999999999995
30.0,53.28
35.0,50.63
40.0,46.58
45.0,46.67
50.0,48.38
55.0,51.589999999999996
60.0,49.04
65.0,50.72
70.0,53.46000000000001
75.0,39.33
80.0,42.42
85.0,41.7
90.0,41.120000000000005
95.0,40.95
100.0,82.66
105.0,76.17
110.0,76.25
115.0,80.14099999999999
120.0,78.503
125.0,76.98400000000001
130.0,101.553
135.0,95.5298
140.0,86.6168
145.0,87.66940000000001
150.0,90.00999999999999
155.0,89.17
160.0,91.92999999999999
165.0,92.33999999999999
170.0,97.34
175.0,95.75
180.0,97.07
185.0,95.21000000000001
190.0,97.41999999999999
195.0,98.47999999999999
200.0,98.583
205.0,96.84
210.0,92.59
215.0,90.63589999999999
220.0,90.0959
225.0,87.8
230.0,85.10999999999999
235.0,84.55
240.0,84.56
245.0,90.63
250.0,97.27000000000001
255.0,90.96
260.0,91.51599999999999
265.0,93.81
270.0,97.92
275.0,96.32
280.0,95.31
285.0,96.36
290.0,94.446
295.0,92.60000000000001
300.0,83.25
305.0,83.09
310.0,80.52
315.0,81.72
320.0,63.900000000000006
325.0,56.39
330.0,55.95
335.0,55.25
340.0,55.69
345.0,57.7
350.0,58.71
355.0,55.769999999999996
360.0,54.61
365.0,55.54
370.0,56.2
375.0,54.53
380.0,55.900000000000006
385.0,55.519999999999996
390.0,53.97
395.0,56.209999999999994
400.0,27.7
405.0,28.56
410.0,30.19
415.0,30.25
420.0,30.3
425.0,6.42
