Time,Flow A Bandwidth(Mbits/sec),Flow A Transfer(MBytes),Flow B Bandwidth(Mbits/sec),Flow B Transfer(MBytes),Flow C Bandwidth(Mbits/sec),Flow C Transfer(MBytes),Flow D Bandwidth(Mbits/sec),Flow D Transfer(MBytes)
0.0,39.2,23.37,0.0,0.0,0.0,0.0,0.0,0.0
5.0,39.64,23.63,0.0,0.0,0.0,0.0,0.0,0.0
10.0,40.41,24.09,0.0,0.0,0.0,0.0,0.0,0.0
15.0,40.83,24.34,0.0,0.0,0.0,0.0,0.0,0.0
20.0,42.19,25.14,0.0,0.0,0.0,0.0,0.0,0.0
25.0,41.29,24.61,13.34,7.95,0.0,0.0,0.0,0.0
30.0,40.24,23.99,13.04,7.77,0.0,0.0,0.0,0.0
35.0,37.88,22.58,12.75,7.6,0.0,0.0,0.0,0.0
40.0,33.41,19.92,13.17,7.85,0.0,0.0,0.0,0.0
45.0,33.64,20.06,13.03,7.77,0.0,0.0,0.0,0.0
50.0,34.75,20.72,13.63,8.13,0.0,0.0,0.0,0.0
55.0,34.62,20.63,16.97,10.11,0.0,0.0,0.0,0.0
60.0,34.15,20.35,14.89,8.87,0.0,0.0,0.0,0.0
65.0,34.73,20.7,15.99,9.54,0.0,0.0,0.0,0.0
70.0,34.45,20.53,19.01,11.32,0.0,0.0,0.0,0.0
75.0,18.62,11.09,20.71,12.33,0.0,0.0,0.0,0.0
80.0,19.25,11.48,23.17,13.81,0.0,0.0,0.0,0.0
85.0,19.32,11.51,22.38,13.34,0.0,0.0,0.0,0.0
90.0,18.17,10.83,22.95,13.68,0.0,0.0,0.0,0.0
95.0,18.77,11.19,22.18,13.22,0.0,0.0,0.0,0.0
100.0,20.86,12.42,22.53,13.43,39.27,23.39,0.0,0.0
105.0,13.76,8.1938,22.73,13.56,39.68,23.64,0.0,0.0
110.0,13.69,8.1544,22.18,13.22,40.38,24.08,0.0,0.0
115.0,15.761,9.3955,23.51,14.01,40.87,24.35,0.0,0.0
120.0,13.793,8.2289,22.54,13.44,42.17,25.13,0.0,0.0
125.0,13.234,7.8899,22.46,13.39,41.29,24.61,0.0,0.0
130.0,12.453,7.4311,21.76,12.98,40.25,23.99,27.09,16.15
135.0,11.868,7.0654,22.81,13.62,37.88,22.58,22.9718,13.697
