Time,Flow A Bandwidth,Flow B Bandwidth,Flow C Bandwidth,Flow D Bandwidth
0.0,39.2,0.0,0.0,0.0
5.0,39.64,0.0,0.0,0.0
10.0,40.41,0.0,0.0,0.0
15.0,40.83,0.0,0.0,0.0
20.0,42.19,0.0,0.0,0.0
25.0,41.29,13.34,0.0,0.0
30.0,40.24,13.04,0.0,0.0
35.0,37.88,12.75,0.0,0.0
40.0,33.41,13.17,0.0,0.0
45.0,33.64,13.03,0.0,0.0
50.0,34.75,13.63,0.0,0.0
55.0,34.62,16.97,0.0,0.0
60.0,34.15,14.89,0.0,0.0
65.0,34.73,15.99,0.0,0.0
70.0,34.45,19.01,0.0,0.0
75.0,18.62,20.71,0.0,0.0
80.0,19.25,23.17,0.0,0.0
85.0,19.32,22.38,0.0,0.0
90.0,18.17,22.95,0.0,0.0
95.0,18.77,22.18,0.0,0.0
100.0,20.86,22.53,39.27,0.0
105.0,13.76,22.73,39.68,0.0
110.0,13.69,22.18,40.38,0.0
115.0,15.761,23.51,40.87,0.0
120.0,13.793,22.54,42.17,0.0
125.0,13.234,22.46,41.29,0.0
130.0,12.453,21.76,40.25,27.09
135.0,11.868,22.81,37.88,22.9718
140.0,12.455,22.56,33.42,18.1818
145.0,14.39,22.45,33.65,17.1794
150.0,12.28,23.41,34.76,19.56
155.0,11.66,22.41,34.61,20.49
160.0,13.13,22.99,34.15,21.66
165.0,11.7,23.59,34.75,22.3
170.0,16.64,23.63,34.45,22.62
175.0,18.26,22.62,31.56,23.31
180.0,17.7,23.34,32.25,23.78
185.0,16.99,22.59,32.04,23.59
190.0,16.8,23.13,31.33,26.16
195.0,17.64,22.18,31.78,26.88
200.0,16.713,21.95,34.13,25.79
205.0,16.73,23.21,30.72,26.18
210.0,15.09,23.14,27.73,26.63
215.0,15.5259,23.82,25.55,25.74
220.0,15.6259,23.09,25.09,26.29
225.0,14.07,22.4,25.31,26.02
230.0,11.11,22.61,26.74,24.65
235.0,12.33,22.47,24.81,24.94
240.0,10.99,22.97,24.82,25.78
245.0,17.48,23.1,25.83,24.22
250.0,17.04,31.47,25.19,23.57
255.0,12.41,29.67,25.22,23.66
260.0,10.766,30.85,25.9,24.0
265.0,11.86,30.82,25.6,25.53
270.0,12.44,30.63,28.93,25.92
275.0,11.56,30.35,30.23,24.18
280.0,12.92,30.59,28.71,23.09
285.0,12.96,30.17,29.15,24.08
290.0,10.956,30.13,29.15,24.21
295.0,11.43,29.85,28.37,22.95
300.0,0.0,29.87,29.32,24.06
305.0,0.0,30.33,28.78,23.98
310.0,0.0,30.07,27.39,23.06
315.0,0.0,29.88,28.13,23.71
320.0,0.0,4.35,28.5,31.05
325.0,0.0,0.0,26.87,29.52
330.0,0.0,0.0,25.42,30.53
335.0,0.0,0.0,25.06,30.19
340.0,0.0,0.0,25.71,29.98
345.0,0.0,0.0,27.87,29.83
350.0,0.0,0.0,28.75,29.96
355.0,0.0,0.0,26.32,29.45
360.0,0.0,0.0,25.07,29.54
365.0,0.0,0.0,26.3,29.24
370.0,0.0,0.0,26.78,29.42
375.0,0.0,0.0,24.66,29.87
380.0,0.0,0.0,26.48,29.42
385.0,0.0,0.0,26.32,29.2
390.0,0.0,0.0,25.08,28.89
395.0,0.0,0.0,25.56,30.65
400.0,0.0,0.0,0.0,27.7
405.0,0.0,0.0,0.0,28.56
410.0,0.0,0.0,0.0,30.19
415.0,0.0,0.0,0.0,30.25
420.0,0.0,0.0,0.0,30.3
425.0,0.0,0.0,0.0,6.42
