Time,Flow A Transfer,Flow B Transfer,Flow C Transfer,Flow D Transfer
0.0,23.37,0.0,0.0,0.0
5.0,23.63,0.0,0.0,0.0
10.0,24.09,0.0,0.0,0.0
15.0,24.34,0.0,0.0,0.0
20.0,25.14,0.0,0.0,0.0
25.0,24.61,7.95,0.0,0.0
30.0,23.99,7.77,0.0,0.0
35.0,22.58,7.6,0.0,0.0
40.0,19.92,7.85,0.0,0.0
45.0,20.06,7.77,0.0,0.0
50.0,20.72,8.13,0.0,0.0
55.0,20.63,10.11,0.0,0.0
60.0,20.35,8.87,0.0,0.0
65.0,20.7,9.54,0.0,0.0
70.0,20.53,11.32,0.0,0.0
75.0,11.09,12.33,0.0,0.0
80.0,11.48,13.81,0.0,0.0
85.0,11.51,13.34,0.0,0.0
90.0,10.83,13.68,0.0,0.0
95.0,11.19,13.22,0.0,0.0
100.0,12.42,13.43,23.39,0.0
105.0,8.1938,13.56,23.64,0.0
110.0,8.1544,13.22,24.08,0.0
115.0,9.3955,14.01,24.35,0.0
120.0,8.2289,13.44,25.13,0.0
125.0,7.8899,13.39,24.61,0.0
130.0,7.4311,12.98,23.99,16.15
135.0,7.0654,13.62,22.58,13.697
140.0,7.4349,13.44,19.92,10.827
145.0,8.58,13.38,20.06,10.2294
150.0,7.33,13.96,20.71,11.65
155.0,6.9481,13.36,20.64,12.21
160.0,7.81,13.7,20.36,12.91
165.0,6.9788,14.06,20.71,13.29
170.0,9.92,14.08,20.53,13.48
175.0,10.89,13.48,18.82,13.9
180.0,10.56,13.91,19.22,14.18
185.0,10.1261,13.46,19.09,14.06
190.0,10.02,13.79,18.66,15.6
195.0,10.518,13.21,18.95,16.03
200.0,9.9574,13.08,20.33,15.36
205.0,9.96,13.84,18.31,15.62
210.0,9.0078,13.79,16.53,15.86
215.0,9.2554,14.19,15.23,15.34
220.0,9.3193,13.78,14.96,15.67
225.0,8.3923,13.36,15.08,15.52
230.0,6.6225,13.48,15.93,14.68
235.0,7.35,13.38,14.78,14.87
240.0,6.5486,13.7,14.79,15.36
245.0,10.4179,13.77,15.39,14.46
250.0,10.1614,18.74,15.02,14.05
255.0,7.38,17.69,15.03,14.09
260.0,6.42,18.39,15.45,14.32
265.0,7.0719,18.37,15.25,15.21
270.0,7.42,18.25,17.25,15.44
275.0,6.8914,18.09,18.02,14.42
280.0,7.7,18.23,17.12,13.76
285.0,7.72,17.98,17.36,14.35
290.0,6.5263,17.96,17.36,14.44
295.0,6.8078,17.8,16.9,13.68
300.0,0.0,17.81,17.46,14.34
305.0,0.0,18.08,17.16,14.28
310.0,0.0,17.93,16.33,13.74
315.0,0.0,17.81,16.76,14.12
320.0,0.0,2.59,16.99,18.5
325.0,0.0,0.0,16.02,17.6
330.0,0.0,0.0,15.17,18.2
335.0,0.0,0.0,14.93,18.0
340.0,0.0,0.0,15.32,17.87
345.0,0.0,0.0,16.62,17.78
350.0,0.0,0.0,17.13,17.86
355.0,0.0,0.0,15.7,17.56
360.0,0.0,0.0,14.94,17.61
365.0,0.0,0.0,15.67,17.42
370.0,0.0,0.0,15.96,17.54
375.0,0.0,0.0,14.7,17.81
380.0,0.0,0.0,15.79,17.54
385.0,0.0,0.0,15.7,17.41
390.0,0.0,0.0,14.95,17.22
395.0,0.0,0.0,15.24,18.27
400.0,0.0,0.0,0.0,16.51
405.0,0.0,0.0,0.0,17.03
410.0,0.0,0.0,0.0,18.0
415.0,0.0,0.0,0.0,18.03
420.0,0.0,0.0,0.0,18.06
425.0,0.0,0.0,0.0,3.83
