Time,Transfer(MBytes),Bandwidth(Mbits/sec),Packet_Lost,Total_Packets,Min_Latency(ms),Max_Latency(ms),Avg_Latency(ms)
0.0000,3.8900,6.5300,1102,3880,21.9580,235.7450,182.3380
5.0000,4.1200,6.9100,1072,4008,170.3090,233.6930,194.5560
10.0000,4.1800,7.0200,1028,4011,166.5230,240.3120,199.2480
15.0000,4.1700,6.9900,1031,4003,149.8210,267.6080,207.7710
20.0000,4.2100,7.0700,1001,4007,200.4840,233.0350,214.5560
25.0000,4.0500,6.8000,1116,4006,207.8530,284.0020,231.6620
30.0000,4.0200,6.7400,1132,3998,198.3230,309.6520,242.3860
35.0000,4.1800,7.0200,1030,4014,219.0410,266.2420,240.9010
40.0000,4.1800,7.0200,1021,4004,236.1510,282.5810,249.3220
45.0000,4.0600,6.8100,1147,4043,171.0610,314.5570,261.5400
50.0000,4.2200,7.0700,985,3993,210.2480,279.7750,254.8940
55.0000,4.2400,7.1100,962,3987,223.0070,301.6080,259.3250
60.0000,4.1800,7.0200,1016,4001,247.0890,365.4020,272.1340
65.0000,4.1300,6.9200,1059,4002,249.3520,307.2170,284.4590
70.0000,4.1600,6.9800,1049,4016,269.7850,314.9870,290.6010
75.0000,2.6200,4.4000,1983,3852,290.1670,622.4850,487.3600
80.0000,2.6600,4.4600,2091,3987,461.7850,524.4370,493.9460
85.0000,2.6700,4.4700,2132,4033,482.3150,547.0110,507.9320
90.0000,2.6500,4.4400,2111,3999,451.0000,637.3210,515.3360
95.0000,2.5000,4.1900,2239,4020,495.0740,622.4120,532.9310
100.0000,2.6000,4.3600,2157,4011,472.9960,585.4270,521.1480
105.0000,2.6100,4.3800,2156,4020,487.1080,608.8810,528.2760
110.0000,2.1700,3.6400,2418,3964,493.6510,609.3570,565.1250
115.0000,2.2400,3.7700,2416,4017,517.7660,638.0200,568.8110
120.0000,2.0900,3.5000,2517,4005,542.9090,778.4820,588.2030
125.0000,2.2000,3.6900,2463,4033,534.6700,607.5920,570.9580
130.0000,2.1600,3.6300,2463,4007,535.3810,638.5870,563.6440
135.0000,2.0500,3.4400,2484,3947,535.9580,724.0430,592.7730
140.0000,1.8300,3.0700,2692,3999,566.8880,673.0780,617.5380
145.0000,2.1300,3.5700,2549,4068,540.8640,658.1810,582.4470
150.0000,2.1900,3.6700,2466,4027,512.2750,738.2660,574.8560
155.0000,2.1700,3.6500,2456,4007,549.6160,628.3090,579.1640
160.0000,2.2600,3.7800,2405,4014,500.6760,610.5840,558.8310
165.0000,2.1400,3.5800,2486,4009,533.4080,778.3800,593.9390
170.0000,2.1600,3.6300,2465,4009,526.4590,608.6320,572.1160
175.0000,1.8800,3.1600,2873,4216,244.7020,617.8170,552.0520
180.0000,2.1500,3.6200,2389,3926,309.8310,523.7250,414.2540
185.0000,2.1900,3.6700,2450,4011,382.2590,482.5720,418.5600
190.0000,2.1400,3.5800,2487,4010,402.6260,476.5450,432.4890
195.0000,2.0700,3.4800,2530,4008,398.6140,542.8100,451.0130
200.0000,2.2200,3.7200,2412,3993,368.5070,499.5510,443.5540
205.0000,2.1000,3.5300,2505,4006,435.8190,505.6390,468.6670
210.0000,2.1800,3.6600,2463,4018,423.4720,576.2580,475.7780
215.0000,2.1600,3.6200,2440,3979,433.9480,562.8250,486.0940
220.0000,2.2100,3.7000,2451,4025,465.7530,523.2120,490.3270
225.0000,2.1800,3.6600,2455,4013,401.9160,600.9570,498.3120
230.0000,2.1400,3.5900,2457,3984,468.7410,570.2530,512.3990
235.0000,2.2500,3.7800,2415,4021,385.9600,546.7870,499.5440
240.0000,2.1500,3.6100,2467,4002,482.3490,595.1730,526.0270
245.0000,2.1600,3.6200,2464,4004,478.5700,603.3450,537.3430
250.0000,2.2100,3.7100,2426,4004,513.7290,624.9700,542.3220
255.0000,2.1400,3.5800,2473,3997,513.6980,658.7110,558.1530
260.0000,2.2200,3.7300,2431,4015,524.7410,603.9140,557.6880
265.0000,2.2300,3.7300,2408,3996,540.7150,609.7870,565.0500
270.0000,2.2000,3.6800,2426,3992,535.2030,640.1870,573.2790
275.0000,1.9400,3.2600,2959,4345,299.1410,605.6240,566.9900
280.0000,2.1200,3.5500,2329,3840,238.0320,431.2030,390.1010
285.0000,2.1900,3.6800,2431,3996,328.9840,456.4790,401.8950
290.0000,2.1200,3.5600,2510,4022,389.2680,462.1070,416.9370
295.0000,2.2700,3.8000,2378,3994,387.4370,442.3460,412.3770
