Time,Total Bandwidth
0.0,5.39
5.0,5.48
10.0,5.51
15.0,5.41
20.0,5.33
25.0,9.32
30.0,7.89
35.0,8.72
40.0,7.9399999999999995
45.0,7.75
50.0,7.93
55.0,7.209999999999999
60.0,8.42
65.0,9.07
70.0,8.6
75.0,4.426
80.0,5.56
85.0,4.0600000000000005
90.0,5.46
95.0,5.78
100.0,10.950000000000001
105.0,11.440000000000001
110.0,10.626
115.0,9.832999999999998
120.0,11.6
125.0,13.68
130.0,16.959999999999997
135.0,16.380000000000003
140.0,14.780000000000001
145.0,12.27
150.0,12.056000000000001
155.0,12.6859
160.0,12.981799999999998
165.0,12.8818
170.0,11.0747
175.0,12.7212
180.0,13.204099999999999
185.0,11.911200000000001
190.0,11.701799999999999
195.0,12.6053
200.0,12.09
205.0,12.543000000000001
210.0,12.679400000000001
215.0,12.604099999999999
220.0,10.581
225.0,11.5118
230.0,12.126500000000002
235.0,11.444700000000001
240.0,11.098
245.0,12.781799999999999
250.0,13.1806
255.0,11.982000000000001
260.0,12.621799999999999
265.0,12.8459
270.0,12.601799999999999
275.0,12.9359
280.0,13.304099999999998
285.0,12.9218
290.0,12.1494
295.0,13.037
300.0,8.496500000000001
305.0,9.5788
310.0,9.833
315.0,8.351799999999999
320.0,12.309999999999999
325.0,8.54
330.0,8.59
335.0,8.55
340.0,7.47
345.0,9.51
350.0,9.19
355.0,8.27
360.0,9.06
365.0,9.48
370.0,9.35
375.0,8.67
380.0,9.49
385.0,8.719999999999999
390.0,8.43
395.0,9.8
400.0,6.58
405.0,6.1
410.0,6.3
415.0,6.18
420.0,6.4
425.0,6.17
