Time,Flow A Bandwidth,Flow B Bandwidth,Flow C Bandwidth,Flow D Bandwidth
0.0,6.53,0.0,0.0,0.0
5.0,6.91,0.0,0.0,0.0
10.0,7.02,0.0,0.0,0.0
15.0,6.99,0.0,0.0,0.0
20.0,7.07,0.0,0.0,0.0
25.0,6.8,2.13,0.0,0.0
30.0,6.74,2.17,0.0,0.0
35.0,7.02,2.11,0.0,0.0
40.0,7.02,2.11,0.0,0.0
45.0,6.81,2.2,0.0,0.0
50.0,7.07,2.18,0.0,0.0
55.0,7.11,2.06,0.0,0.0
60.0,7.02,2.36,0.0,0.0
65.0,6.92,2.21,0.0,0.0
70.0,6.98,2.26,0.0,0.0
75.0,4.4,2.3,0.0,0.0
80.0,4.46,2.37,0.0,0.0
85.0,4.47,2.23,0.0,0.0
90.0,4.44,2.38,0.0,0.0
95.0,4.19,2.28,0.0,0.0
100.0,4.36,2.24,6.55,0.0
105.0,4.38,2.24,6.91,0.0
110.0,3.64,2.29,7.02,0.0
115.0,3.77,2.13,6.99,0.0
120.0,3.5,2.34,7.07,0.0
125.0,3.69,2.83,6.8,0.0
130.0,3.63,2.18,6.74,5.95
135.0,3.44,2.29,7.02,5.97
140.0,3.07,2.32,7.02,5.75
145.0,3.57,2.28,6.81,5.96
150.0,3.67,2.31,7.07,6.03
155.0,3.65,2.35,7.12,5.65
160.0,3.78,2.25,7.02,5.42
165.0,3.58,2.22,6.92,5.87
170.0,3.63,2.28,6.98,5.91
175.0,3.16,2.26,6.46,5.85
180.0,3.62,2.28,6.62,6.08
185.0,3.67,2.39,6.57,5.71
190.0,3.58,2.32,6.53,5.96
195.0,3.48,2.28,6.38,6.0
200.0,3.72,2.3,6.53,5.73
205.0,3.53,2.3,6.44,5.98
210.0,3.66,2.31,5.95,5.9
215.0,3.62,2.29,5.97,5.72
220.0,3.7,2.25,5.76,6.02
225.0,3.66,2.87,5.96,5.87
230.0,3.59,2.31,6.01,5.91
235.0,3.78,2.3,5.66,5.82
240.0,3.61,2.32,5.44,6.0
245.0,3.62,2.29,5.84,5.89
250.0,3.71,6.72,5.11,5.84
255.0,3.58,6.29,5.84,6.14
260.0,3.73,6.29,6.08,5.96
265.0,3.73,6.28,5.71,5.89
270.0,3.68,6.3,5.94,6.0
275.0,3.26,6.29,6.01,5.88
280.0,3.55,6.29,5.77,6.02
285.0,3.68,6.29,5.94,6.02
290.0,3.56,6.29,5.9,5.92
295.0,3.8,6.29,5.73,6.04
300.0,0.0,6.29,6.04,5.94
305.0,0.0,6.29,5.85,5.96
310.0,0.0,6.26,5.91,5.87
315.0,0.0,6.33,5.83,6.08
320.0,0.0,0.0,5.11,6.72
325.0,0.0,0.0,5.92,6.29
330.0,0.0,0.0,5.84,6.29
335.0,0.0,0.0,6.13,6.29
340.0,0.0,0.0,5.95,6.29
345.0,0.0,0.0,5.91,6.29
350.0,0.0,0.0,5.99,6.29
355.0,0.0,0.0,5.87,6.29
360.0,0.0,0.0,6.02,6.29
365.0,0.0,0.0,6.01,6.29
370.0,0.0,0.0,5.91,6.29
375.0,0.0,0.0,6.04,6.29
380.0,0.0,0.0,5.95,6.27
385.0,0.0,0.0,5.95,6.32
390.0,0.0,0.0,5.89,6.29
395.0,0.0,0.0,6.06,6.29
400.0,0.0,0.0,0.0,6.29
405.0,0.0,0.0,0.0,6.3
410.0,0.0,0.0,0.0,6.29
415.0,0.0,0.0,0.0,6.29
420.0,0.0,0.0,0.0,6.29
