Time,Flow A Transfer,Flow B Transfer,Flow C Transfer,Flow D Transfer
0.0,3.21,0.0,0.0,0.0
5.0,3.27,0.0,0.0,0.0
10.0,3.29,0.0,0.0,0.0
15.0,3.23,0.0,0.0,0.0
20.0,3.18,0.0,0.0,0.0
25.0,3.15,2.41,0.0,0.0
30.0,2.89,1.81,0.0,0.0
35.0,2.77,2.42,0.0,0.0
40.0,2.78,1.95,0.0,0.0
45.0,2.63,1.99,0.0,0.0
50.0,2.89,1.84,0.0,0.0
55.0,2.47,1.83,0.0,0.0
60.0,2.64,2.38,0.0,0.0
65.0,2.93,2.48,0.0,0.0
70.0,2.8,2.32,0.0,0.0
75.0,0.2246,2.42,0.0,0.0
80.0,1.01,2.3,0.0,0.0
85.0,0.3994,2.02,0.0,0.0
90.0,0.7686,2.49,0.0,0.0
95.0,0.8887,2.56,0.0,0.0
100.0,1.1,2.21,3.22,0.0
105.0,0.9951,2.55,3.27,0.0
110.0,0.415,2.63,3.29,0.0
115.0,0.21,2.42,3.23,0.0
120.0,1.16,2.57,3.19,0.0
125.0,2.4,2.6,3.15,0.0
130.0,2.0,2.49,2.89,2.72
135.0,2.04,2.21,2.77,2.74
140.0,2.46,2.29,2.78,1.29
145.0,2.55,2.1,2.63,0.0238
150.0,2.16,1.84,2.89,0.3018
155.0,2.55,2.54,2.46,0.0154
160.0,2.63,2.46,2.64,0.007
165.0,2.48,2.27,2.92,0.007
170.0,2.5,1.62,2.43,0.0505
175.0,2.59,2.45,2.52,0.0126
180.0,2.51,2.52,2.84,0.0084
185.0,1.87,2.42,2.81,0.0126
190.0,2.32,1.91,2.74,0.007
195.0,2.08,2.55,2.86,0.021
200.0,1.8,2.45,2.94,0.0238
205.0,2.48,1.83,2.84,0.3291
210.0,2.48,2.32,2.74,0.0056
215.0,2.29,2.49,2.73,0.0084
220.0,1.5,2.34,2.39,0.0841
225.0,2.45,1.99,2.42,0.007
230.0,2.5,2.43,2.3,0.0098
235.0,2.39,2.37,2.03,0.0267
240.0,1.84,2.25,2.46,0.0701
245.0,2.52,2.53,2.55,0.007
250.0,2.46,3.15,2.2,0.0421
255.0,1.84,2.65,2.55,0.0968
260.0,2.3,2.59,2.63,0.007
265.0,2.5,2.73,2.42,0.0154
270.0,2.37,2.57,2.57,0.007
275.0,1.94,3.14,2.61,0.0154
280.0,2.42,3.01,2.49,0.0084
285.0,2.4,3.08,2.22,0.007
290.0,2.06,3.11,2.08,0.0056
295.0,2.52,3.15,2.07,0.028
300.0,0.0,3.23,1.82,0.0098
305.0,0.0,3.19,2.48,0.0351
310.0,0.0,3.23,2.47,0.1572
315.0,0.0,2.8,2.17,0.007
320.0,0.0,2.79,1.66,2.89
325.0,0.0,0.0,2.44,2.65
330.0,0.0,0.0,2.53,2.59
335.0,0.0,0.0,2.37,2.73
340.0,0.0,0.0,1.88,2.57
345.0,0.0,0.0,2.54,3.14
350.0,0.0,0.0,2.46,3.01
355.0,0.0,0.0,1.85,3.08
360.0,0.0,0.0,2.3,3.1
365.0,0.0,0.0,2.5,3.16
370.0,0.0,0.0,2.34,3.24
375.0,0.0,0.0,1.98,3.19
380.0,0.0,0.0,2.42,3.23
385.0,0.0,0.0,2.39,2.8
390.0,0.0,0.0,2.23,2.79
395.0,0.0,0.0,2.52,3.33
400.0,0.0,0.0,0.0,3.92
405.0,0.0,0.0,0.0,3.63
410.0,0.0,0.0,0.0,3.75
415.0,0.0,0.0,0.0,3.68
420.0,0.0,0.0,0.0,3.81
425.0,0.0,0.0,0.0,3.68
