Time,Total Throughput
0.0,19.07
5.0,19.25
10.0,19.67
15.0,19.9
20.0,20.71
25.0,26.459999999999997
30.0,26.05
35.0,24.270000000000003
40.0,21.73
45.0,21.91
50.0,22.83
55.0,24.729999999999997
60.0,23.290000000000003
65.0,24.259999999999998
70.0,24.619999999999997
75.0,17.82
80.0,19.380000000000003
85.0,19.22
90.0,18.85
95.0,18.479999999999997
100.0,39.21
105.0,35.35380000000001
110.0,35.6644
115.0,37.8155
120.0,37.2189
125.0,36.3499
130.0,48.0711
135.0,44.062400000000004
140.0,39.8619
145.0,41.2094
150.0,42.13
155.0,40.9881
160.0,42.34
165.0,42.19879999999999
170.0,45.309999999999995
175.0,44.98
180.0,45.06999999999999
185.0,44.206100000000006
190.0,45.72
195.0,46.348
200.0,46.497400000000006
205.0,45.39
210.0,42.817800000000005
215.0,41.995400000000004
220.0,41.7393
225.0,40.712300000000006
230.0,38.8725
235.0,39.58
240.0,40.2286
245.0,43.1779
250.0,46.8814
255.0,43.48
260.0,44.029999999999994
265.0,45.5619
270.0,47.71
275.0,46.251400000000004
280.0,46.11
285.0,46.489999999999995
290.0,45.196299999999994
295.0,44.4978
300.0,39.85
305.0,39.879999999999995
310.0,38.94
315.0,39.17
320.0,31.990000000000002
325.0,27.89
330.0,27.35
335.0,27.04
340.0,27.35
345.0,29.18
350.0,29.17
355.0,27.42
360.0,26.52
365.0,27.11
370.0,27.34
375.0,26.700000000000003
380.0,27.21
385.0,27.03
390.0,26.34
395.0,27.48
400.0,12.76
405.0,13.28
410.0,14.25
415.0,14.28
420.0,14.31
425.0,3.83
