------------------------------------------------------------
Client connecting to 10.0.0.4, UDP port 5001 with pid 4605
Sending 1470 byte datagrams, IPG target: 1869.20 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 51065 connected with 10.0.0.4 port 5001
[ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
[  3] 0.0000-5.0000 sec  3.75 MBytes  6.29 Mbits/sec  2676/0      535 pps
[  3] 5.0000-10.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 10.0000-15.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 15.0000-20.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 20.0000-25.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 25.0000-30.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 30.0000-35.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 35.0000-40.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 40.0000-45.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 45.0000-50.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 50.0000-55.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 55.0000-60.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 60.0000-65.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 65.0000-70.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 70.0000-75.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 75.0000-80.0000 sec  3.75 MBytes  6.29 Mbits/sec  2674/0      535 pps
[  3] 80.0000-85.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
[  3] 85.0000-90.0000 sec  3.75 MBytes  6.29 Mbits/sec  2675/0      535 pps
