time,bandwidth,datagrams
0,2.5,2442
1,2.58,2718
2,2.4,2666
3,2.58,2692
4,2.47,2660
5,2.34,2560
6,3.82,2722
7,3.64,2671
8,3.99,2672
9,3.58,2642
10,4.22,2688
11,4.0,2653
12,3.56,2638
13,3.69,2726
14,2.71,2655
15,3.02,2683
16,3.39,2675
17,2.46,2652
18,3.43,2695
19,2.9,2672
20,2.8,2664
21,2.65,2490
22,3.31,2883
23,3.02,2657
24,3.04,2573
25,9.22,6629
26,8.34,6710
27,8.19,6429
28,8.47,6825
29,9.05,6727
30,7.49,6548
31,7.83,6805
32,7.14,6654
33,8.7,6751
34,9.02,6667
35,9.4,6718
36,9.15,6658
37,9.79,6682
38,9.86,6673
39,9.29,6700
40,6.66,6348
41,5.64,6804
42,6.22,6630
43,6.9,6789
44,6.56,6652
45,8.35,6652
46,434.51,6748
47,885.17,6609
48,736.68,6840
49,708.56,6622
50,139.17,6855
51,628.44,6953
52,952.97,6814
53,919.97,6214
54,6.84,6513
55,6.94,6853
56,6.54,6680
57,7.4,6557
58,5.92,6682
59,6.27,6749
60,2.18,4243
61,4.61,6912
62,4.09,6136
63,4.65,6723
64,4.35,6479
65,955.82,6821
66,4.77,6677
67,4.06,6531
68,28.69,6789
69,68.78,6710
70,4.03,7114
71,3.81,6277
72,4.69,6700
73,4.34,6647
74,4.31,6655
75,4.42,6773
76,4.77,6605
77,908.86,6653
78,4.09,6982
79,4.85,6446
80,4.13,6732
81,5.06,6740
82,4.97,7106
83,818.88,6266
84,4.04,6804
85,2.93,2609
86,10.02,6581
87,10.05,6689
88,10.3,6640
89,10.09,6647
90,10.15,6774
91,10.2,6611
92,10.04,6677
93,10.1,6689
94,10.1,6630
95,10.02,6702
96,10.0,6699
97,10.61,6701
98,10.02,6633
99,10.59,6872
100,15.75,10503
101,12.15,10523
102,11.59,10575
103,11.56,10794
104,11.76,10592
105,10.81,10713
106,14.89,10921
107,14.22,10657
108,14.96,10713
109,15.42,10695
110,15.9,10837
111,16.13,10575
112,16.12,10713
113,15.83,10647
114,16.03,10716
115,15.71,10610
116,14.92,10750
117,15.5,10691
118,15.52,10774
119,15.09,10652
120,9.18,7917
121,10.11,10656
122,10.02,10695
123,10.19,10685
124,10.2,10656
125,9.75,10749
126,10.11,10668
127,12.62,10667
128,10.23,10535
129,11.59,10650
130,15.87,13390
131,14.97,13491
132,17.75,13361
133,17.83,13369
134,17.88,13327
135,17.74,13273
136,18.2,13141
137,17.62,13756
138,18.24,13335
139,17.8,13409
140,18.32,13375
141,18.31,13421
142,18.3,13226
143,17.72,13387
144,17.14,13131
145,18.47,13570
146,14.84,9372
147,21.31,13182
148,22.02,13448
149,22.26,13366
150,21.57,13247
151,21.25,13402
152,21.37,13409
153,21.49,13261
154,21.95,13440
155,21.7,13284
156,21.71,13428
157,22.03,13303
158,21.9,13485
159,21.88,13265
160,16.88,9311
161,24.1,13323
162,21.86,13203
163,21.53,13334
164,22.34,13388
165,21.38,13284
166,22.59,13608
167,22.64,13423
168,20.26,10932
169,21.17,15695
170,23.69,13302
171,23.7,13267
172,23.7,13285
173,21.97,13697
174,21.64,13369
175,21.18,13222
176,20.45,13582
177,20.11,13427
178,20.41,13450
179,20.74,13431
180,14.11,10587
181,16.4,13183
182,15.89,13576
183,17.46,13354
184,14.31,13251
185,14.89,13360
186,17.99,13749
187,17.23,13227
188,16.87,13283
189,17.84,13407
190,13.45,10720
191,20.32,13348
192,20.53,13342
193,20.13,13462
194,20.44,13293
195,20.83,13444
196,20.37,13282
197,20.49,13393
198,21.18,13372
199,20.6,13604
200,20.07,13339
201,20.19,13385
202,19.85,13351
203,19.64,13438
204,19.88,13342
205,20.09,13408
206,19.74,13280
207,17.81,9419
208,23.73,13050
209,24.07,13504
210,24.99,13405
211,25.3,13285
212,26.45,13298
213,26.96,13504
214,26.59,13157
215,23.82,13590
216,24.01,13114
217,24.45,13302
218,24.05,13303
219,24.5,13419
220,24.94,13435
221,17.61,9296
222,25.35,13443
223,24.75,13340
224,24.67,13243
225,25.29,13411
226,26.43,13496
227,25.96,13243
228,26.71,13558
229,26.4,13442
230,26.12,13309
231,22.77,13253
232,23.58,13381
233,22.87,13307
234,22.53,13379
235,22.64,13319
236,24.37,13849
237,23.27,13092
238,22.05,13332
239,22.38,13351
240,15.11,10654
241,15.06,10667
