case,flow,bandwidth (Mbps),profit per mbps,total profit,start time,end time,duration,cross-domain
case1,h4_h2,9.0,7.0,63.0,10,210,200,
case1,h10_h12,3.0,10.0,30.0,20,170,150,
case1,h3_h1,9.0,2.0,18.0,35,250,215,
case1,h7_h8,7.0,3.0,21.0,50,250,200,

case2,h7_h8,9.0,5.0,45.0,5,235,230,
case2,h10_h9,9.0,2.0,18.0,10,245,235,
case2,h5_h6,6.0,4.0,24.0,20,250,230,
case2,h2_h3,7.0,2.0,14.0,40,240,200,
case2,h14_h3,3.0,10.0,30.0,50,260,210,
case2,h4_h12,3.0,3.0,9.0,70,245,175,

case3,h1_h6,9.0,8.0,72.0,5,235,230,
case3,h9_h10,9.0,5.0,45.0,15,245,230,
case3,h2_h3,5.0,2.0,10.0,25,245,220,
case3,h7_h13,7.0,5.0,35.0,50,230,180,

case4,h1_h6,8.0,7.0,56.0,5,235,230,
case4,h9_h10,9.0,3.0,27.0,10,240,230,
case4,h2_h3,6.0,2.0,12.0,15,235,220,
case4,h7_h13,7.0,7.0,49.0,25,255,230,
case4,h5_h4,3.0,2.0,6.0,35,250,215,
case4,h14_h3,5.0,10.0,50.0,40,250,210,

case1,h1_h6,8.0,11.0,88.0,5,235,230,
case1,h9_h10,8.0,11.0,88.0,10,240,230,
case1,h2_h3,7.0,8.0,56.0,15,235,220,
case1,h7_h13,6.0,8.0,48.0,25,250,225,
case1,h5_h4,4.0,5.0,20.0,30,245,215,
case1,h14_h3,3.0,3.0,9.0,40,250,210,

case2,h1_h6,6.0,4.0,24.0,5,235,230,
case2,h9_h10,9.0,1.0,9.0,10,240,230,
case2,h2_h3,7.0,3.0,21.0,15,235,220,
case2,h7_h13,8.0,2.0,16.0,25,255,230,
case2,h5_h4,5.0,6.0,30.0,30,245,215,
case2,h14_h3,3.0,13.0,39.0,40,250,210,

case3,h1_h6,9.0,12.0,108.0,5,245,240,
case3,h9_h10,8.0,3.0,24.0,10,245,235,
case3,h2_h3,7.0,4.0,28.0,15,235,220,
case3,h7_h13,6.0,9.0,54.0,25,250,225,
case3,h5_h4,4.0,2.0,8.0,30,245,215,
case3,h14_h3,5.0,12.0,60.0,40,250,210,

